Model,MAE,RMSE,R2,Training_Time,Prediction_Time
Linear Regression,2.5266126932821926,2.6406403415660096,-4.653521601210239,0.016763399995397776,0.0011286000080872327
Polynomial Regression,4.530233050818183,4.635095386121363,-16.418786665205438,0.043321399978594854,0.0021553999977186322
Decision Tree,2.189790217647051,2.474325616903658,-3.963799730988743,0.0037814999814145267,0.001338500005658716
Random Forest,2.7966525539289275,2.9955932760779644,-6.275556915479848,0.2842255000141449,0.052459699974860996
Gradient Boosting,2.106216343426871,2.3422559800329696,-3.4480459101546623,0.26646479999180883,0.004290299984859303
AHRF (proposed),2.464705616748324,2.6957443734061775,-4.89193521804336,0.1544137999881059,0.006074400007491931
